Campaign Name,Audience,Version,Subject Line,Deployment Date,Unique Emails Delivered,Unique Emails Opened,Unique Clickers,Open Rate,Click Rate,Click To Open Rate,Unsub Rate
MH_BRX_Tab_Pro_Pre-Order,,,,2/5/2014,2868,460,43,0.1604,0.015,0.09347826,0.0152
MH_BRX_Tab_Pro_Pre-Order,Previous Tablet Handraisers,,,2/5/2014,19,12,3,0.6316,0.1579,0.25,0
MJ_BRX_Tab_Pro_Launch,,,,2/14/2014,2915,542,63,0.1859,0.0216,0.11623616,0.0055
MM_BRX_Project_K_Handraiser,,,,2/28/2014,99,59,24,0.596,0.2424,0.40677966,0
MN_BRX_Tab_Pro_Launch Remail,,,,3/6/2014,883,101,9,0.1144,0.0102,0.08910891,0.0099
MO_BRX_March_Newsletter,,,,3/12/2014,2802,419,82,0.1495,0.0293,0.19570405,0.0143
MU_BRX_Alpha_S_5_Preorder,,GEN_AC5_PO,S6,4/4/2014,1318,271,37,0.2056,0.0281,0.13653136,0
MU_BRX_Alpha_S_5_Preorder,,SPR_AC5_PO,S4,3/21/2014,220,46,10,0.2091,0.0455,0.2173913,0
MU_BRX_Alpha_S_5_Preorder,AB3 Group2s (7-11 months),TMB_AC5OFF_PO,S3,3/26/2014,71,12,2,0.169,0.0282,0.16666667,0
MZ_BRX_Alpha_Gamma_2_Launch,,Gamma_2NEO_LA,,4/16/2014,507,63,19,0.1243,0.0375,0.3015873,0.0159
MZ_BRX_Alpha_Gamma_2_Launch,Beta 3,Gamma_FIT_LA,,4/16/2014,246,39,12,0.1585,0.0488,0.3076923,0
N1_BRX_Alpha_S_5_Launch,,ATT_AC5_LA_GEN,S16,5/1/2014,110,12,0,0.1091,0,0,0
N1_BRX_Alpha_S_5_Launch,,GEN_AC5_LA_GEN,S10,4/11/2014,1588,290,75,0.1826,0.0472,0.25862069,0.0069
N1_BRX_Alpha_S_5_Launch,,GEN_AC5_LA_GEN,S10,4/16/2014,650,26,7,0.04,0.0108,0.26923075,0
N1_BRX_Alpha_S_5_Launch,,GEN_AC5_LA_GEN,S16,5/1/2014,1277,118,22,0.0924,0.0172,0.18644067,0
N1_BRX_Alpha_S_5_Launch,,GEN_AC5_LA_GEN,S20,5/1/2014,644,106,28,0.1646,0.0435,0.26415094,0
N1_BRX_Alpha_S_5_Launch,,GEN_AC5_LA_UPG,S11,4/16/2014,192,12,4,0.0625,0.0208,0.33333333,0.0833
N1_BRX_Alpha_S_5_Launch,,SPR_AC5_LA_GEN,S6,4/11/2014,153,24,1,0.1569,0.0065,0.04166666,0
N1_BRX_Alpha_S_5_Launch,,TMB_AC5_LA_UPG,S13,4/11/2014,70,13,5,0.1857,0.0714,0.38461538,0
N1_BRX_Alpha_S_5_Launch,AB4 Group2s (7+ months),ATT_AC5_LA_UPG,S2,4/11/2014,66,18,5,0.2727,0.0758,0.27777778,0
N1_BRX_Alpha_S_5_Launch,AB4 Group2s (7+ months),TMB_AC5_LA_UPG,S19,5/1/2014,58,10,2,0.1724,0.0345,0.2,0
N1_BRX_Alpha_S_5_Launch,Other BRX/QWE Group2s,GEN_AC5_LA_GEN,S10,4/11/2014,189,24,6,0.127,0.0317,0.25,0
N1_BRX_Alpha_S_5_Launch,Other BRX/QWE Group2s,GEN_AC5_LA_GEN,S10,4/16/2014,239,12,3,0.0502,0.0126,0.25,0.25
N1_BRX_Alpha_S_5_Launch,Other BRX/QWE Group2s,GEN_AC5_LA_GEN,S16,5/1/2014,160,15,2,0.0938,0.0125,0.13333333,0
N6_BRX_April_Newsletter,,,,4/23/2014,1810,279,34,0.1541,0.0188,0.1218638,0
